medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist,birth_place
27/7/2024,Gold Medal,1,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China","Hong Kong, China",HKG,"Hong Kong, China","Hong Kong, China",,,Fencing,Women's pée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,8/2/1994,1963262,,TRUE,HONG KONG
28/7/2024,Gold Medal,1,XIE Yu,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,12/6/2000,1913907,,TRUE,GUI ZHOU
28/7/2024,Bronze Medal,3,ZHANG Yufei,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,19/4/1998,1945125,,TRUE,JIANG SU
29/7/2024,Gold Medal,1,CHEUNG Ka Long,Male,HKG,"Hong Kong, China","Hong Kong, China",HKG,"Hong Kong, China","Hong Kong, China",,,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,10/6/1997,1963245,,TRUE,HONG KONG
29/7/2024,Gold Medal,1,SHENG Lihao,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,4/12/2004,1913899,,TRUE,JIANG SU
29/7/2024,Silver Medal,2,HUANG Yuting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,3/9/2006,1913945,,TRUE,ZHE JIANG
29/7/2024,Silver Medal,2,XU Jiayu,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,19/8/1995,1945132,,TRUE,ZHE JIANG
29/7/2024,Silver Medal,2,TANG Qianting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,14/3/2004,1945200,,TRUE,SHANG HAI
29/7/2024,Bronze Medal,3,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China","Hong Kong, China",HKG,"Hong Kong, China","Hong Kong, China",,,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,31/10/1997,1925125,,TRUE,HONG KONG
30/7/2024,Silver Medal,2,QI Ying,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,23/1/1997,1913928,,TRUE,SHAN DONG
31/7/2024,Silver Medal,2,ZHANG Boheng,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,4/3/2000,1918864,,TRUE,HU NAN
